source,target,weight
K00033,K11692,0.6800825593395253
K00033,K12294,0.6030753710122999
K00033,K12340,-0.7131062951496387
K00033,K13039,0.7523219814241485
K00033,K13487,0.6181630546955624
K00033,K13533,0.7708978328173374
K00033,K13589,-0.8121775025799793
K00033,K13598,0.7894736842105263
K00033,K13991,0.653250773993808
K00033,K14979,0.8080495356037152
K00033,K14989,-0.6573787409700722
K00033,K15383,-0.762641898864809
K00033,K15711,0.6350710239902901
K00033,K15739,0.7454828045597998
K00033,K15876,0.7440660474716203
K00033,K16163,0.6470588235294118
K00033,K18087,-0.7195445318711925
K00033,K18322,-0.6553147574819401
K00033,K18586,-0.7456088376897494
K00033,K18838,-0.6058000953906982
K00033,K18856,0.6759545923632612
K00033,K19616,0.8142414860681115
K00033,K19661,0.6222910216718266
K00033,K19668,0.826625386996904
K00033,K19868,0.6330455914227594
K00033,K19869,0.6330455914227594
K00033,K19921,0.8390134503480077
K00033,K20264,0.7853457172342622
K00033,K20484,-0.6016511867905057
K00033,K20485,0.632610939112487
K00033,K20977,0.7131062951496387
K00033,K21231,0.7743934950413431
K00033,K21457,-0.6718266253869969
K00033,K21567,-0.6264189886480908
K00036,K02228,0.653250773993808
K00036,K02335,0.6037151702786379
K00049,K00090,0.7148492983842679
K00049,K00156,-0.6397255625934746
K00049,K00174,-0.6115541616719271
K00049,K00180,-0.6209446286457764
K00049,K00230,-0.7594540165100515
K00049,K00368,0.6209446286457764
K00049,K00404,0.6491160295673238
K00049,K00405,0.7171969151277302
K00049,K00406,0.6115541616719271
K00049,K00407,0.731282615588504
K00049,K00411,0.6092065449284648
K00049,K00426,-0.6561588797977107
K00049,K00457,0.6960683644365697
K00049,K00595,-0.6655493467715599
K00049,K00626,0.6632017300280976
K00049,K00627,0.674939813745409
K00049,K00797,0.6702445802584844
K00049,K00799,0.6491160295673238
K00049,K00822,0.6632017300280976
K00049,K00992,0.6139017784153895
K00049,K01150,0.674939813745409
K00049,K01256,0.602163694698078
K00049,K01447,-0.6068589281850025
K00049,K01816,0.674939813745409
K00049,K01928,0.6279874788761632
K00049,K02164,0.6702445802584844
K00049,K02188,-0.658506496541173
K00049,K02191,-0.6796350472323336
K00049,K02259,0.6890255142061829
K00049,K02305,0.6678969635150221
K00049,K02448,0.6538112630542484
K00049,K02487,0.602163694698078
K00049,K02558,0.7500635495362024
K00049,K02641,0.6420731793369371
K00049,K02659,0.6209446286457764
K00049,K03110,0.6092065449284648
K00049,K03407,0.6397255625934746
K00049,K03551,0.6491160295673238
K00049,K03612,-0.6350303291065501
K00049,K03701,0.6913731309496451
K00049,K03741,0.6185970119023141
